Id,content,Labels
PS_13,"இபிஎஸ்-க்கு அண்ணாமலை பதிலடி  

 | #EPS | #Annamalai | #BJP | #Admk |  |  ",Opinionated
PS_14,டம்மிவேட்பாளரை போட்டு பிச்ச எடுக்குற நாயே... ஒரு நாளைக்காவது சோத்த தின்னுட்டு உண்மையைத்தான் பேசேன்டா..,Neutral
PS_15,"கோவையில் மிரட்டபடும் முஸ்லிம்கள்! சீமானின் ஸ்லீப்பர் செல் அண்ணாமலை 
#Seeman_Symbol_Mike #Seeman 
#சீமானின்_சின்னம்_ஒலிவாங்கி_மைக் #Annamalai #NTK #சீமானின்_சின்னம்_ஒலிவங்கி #Annamalai4Coimbatore #NTK_Symbol_மைக் #BJP 
 #ஒரு_வயசான_திருட்டுப்பய
",Opinionated
PS_16,"நாம்தமிழர் கட்சியின் தலைமை ஒருங்கிணைப்பாளர் சீமான் நாடாளுமன்றத் தேர்தல் பரப்புரைப் பொதுக்கூட்டம். 

ஏப்ரல் 13, 2024.
இன்று இரவு 8 மணிக்கு 
நாகப்பட்டினம் நாடாளுமன்றத்தொகுதி : திருவாரூர் - தெற்கு வீதி 
நேரலை : 

#மக்களின்_சின்னம்_ஒலிவாங்கி 
#Mike_ThePeoplesChoice 
#Elections2024
#NTK_Symbol_Mike 
#நாம்தமிழர்கட்சி",Opinionated
PS_17,"  ஏழை மக்கள் பணத்தை தேர்தல் பத்திரம் மூலம் திருடிய திமுகவிற்கு வேண்டாம் !
#DMKFailsTN",Neutral
PS_18,"பள்ளி மாணவர்களுக்கு குப்பை வண்டியில் காலை சாப்பாடு...😡😡

இது தான் #திராவிடமாடல் லட்சணம் 🤦‍♂️🤦‍♂️

50 ஆண்டுகால திராவிட ஆட்சி
 இதுவே சாட்சி

அவலங்கள் தொடர் கதை❤🖤
#உபிஸ்பரிதாபங்கள்
#திராவிடமாடல்பரிதாபங்கள்
#திருடும்_திராவிட_அரசு 

#திருட்டு_திமுக
#சாத்தானின்_ஆட்சி
#DMKFailsTN ",Opinionated
PS_19,"தன் மண்ணுக்கும், மக்களுக்குமான அரசியலை முன்னெடுத்து, தான் கொண்டக் கொள்கையில் எந்த சமரசமும் செய்யாத, உங்களில் ஒருவன்🔥🔥🔥

#மக்களின்_சின்னம்_ஒலிவாங்கி
#மக்களின்_சின்னம்_மைக்
#Mike_VoiceOfPeople ",Sarcastic
PS_20," யின் twitterக்கு பிறகு உபிகளின் நிலை  
#மைக்_சின்னம்  #மக்களின்_சின்னம்_மைக் 
#Vijay #விஜய் 
#நாம்தமிழர் ",Positive
PS_21,"இது தான் கூட்டணியா?
#election | #election2024 | #loksabhaelection | #electioncommission | #NTK | #SEEMAN
 ",None of the above
PS_22,"அடிமைகளுக்கும், கொத்தடிமைகளுக்கும் இந்த வீடியோ சமர்ப்பணம் . #seeman #tamil #seemanism #tamilnadu #ntkfor2024 ",Sarcastic
PS_23,"#சீமானின்_சின்னம்_ஒலிவாங்கி #Seeman #Seeman2024 #Seeman4TN #Seemanism #சீமானிசம் #SEEMAN2024ELECTION #மக்கள்-தலைவன்-சீமான் 

இதற்காகத்தான் இந்த கட்சிகளுக்கு சின்னம் மறுக்கப்பட்டது.  via ",Neutral
PS_24,"தாய்க்காக மகள்கள், தந்தைக்காக மகன், அண்ணனுக்காக தம்பி...   கணவனுக்காக மனைவி களத்தில் குடும்பங்கள்...   வாரிசுகள் பராக்... பராக்... களை கட்டும் தேர்தல் பிரசாரம்  

#LokSabaElection2024 #ElectionCommission #BJP #Congress #DMK #AIADMK #NTK #ElectionsWithThanthiTV ",Neutral
PS_25,ரொம்பவே உண்மையான பதிவு ... விழுத்துக்கொள் ஹிந்துக்களே #DMKFailsTN #SayNoToDrugs_DMK  #betiyar,None of the above
PS_26,இந்தி தெரியாது,Neutral
PS_27,"🔴LIVE |  சீமான் பரப்புரை | கோயம்புத்தூர் வேட்பாளர் கலாமணி ஜெகநாதன் Seeman 

#live #ntkseeman #seeman #naamtamilarkatchi #coimbatore #electioncampaign #loksabhaelection2024 #parliamentaryelection2024 #UpdateNews360
Link :  ",Opinionated
PS_28,"      வெற்றி நிச்சயம்💪💪💪
#மக்களின்_சின்னம்_மைக் ",Neutral
PS_29,"எவன்புள்ளயோ படிக்குது  இருந்தா என்ன..?
செத்தா என்ன..?
இதுதானே இந்த கொள்ளைக்கார திருட்டு திராவிட கும்பலின் மனநிலை...!!  
#DMKFailsTN ",Sarcastic
PS_30,"39 பேர் போயி தில்லியில் 
செங்கலை காட்ட தைரியம் இல்லாமல் 
இங்கே வந்து காட்டி மக்களை கூமுட்டை ஆக்கும் 
#திருட்டுதிமுக 

",Positive
PS_31,தமிழன் விரோத கட்சி #NTK,Opinionated
PS_32,"”மருத்துவம் மட்டுமே கல்வி அல்ல”.. வட சென்னை வேட்பாளரை ஆதரித்து சீமான் பிரச்சாரம் | Seeman | Campaign

#NewsTamil24x7 #seeman #ntk #electioncampaign #loksabhaelection2024 #tondiarpet ",None of the above
PS_33,இயக்குனர் கருணாநிதி உடைய மகன் என்றால் சும்மாவா.. நடிப்பில் சிறந்தவர் 😅🤣 #DMKFailsTN #BJPFailsTN #NoVoteToDMK #NoVoteToADMK #NoVoteForModi #NoVoteForBJP,Opinionated
PS_34,சேலம் பாராளுமன்ற தொகுதியின் வெற்றி வேட்பாளர் மருத்துவர் மனோஜ் குமார் அவர்களை ஆதரித்து ஒலிவாங்கி சின்னத்திற்கு வாக்கு கேட்டு எடப்பாடி சட்டமன்ற தொகுதியில் பரப்புரை மேற்கொண்ட போது..,Neutral
PS_35,"""பீடி தொழிலாளர்களுக்கு இஎஸ்ஐ மருத்துவமனை"" - டாக்டர். கிருஷ்ணசாமி தீவிர வாக்கு சேகரிப்பு



#electioncampaign #admk #thanthitv",Neutral
PS_36,"பரப்புரையின் போது ஐயாவை (82) சந்தித்தோம் தம்பி நான் மோடியின் நண்பர்(!)
எப்போதும் மோடி தான் ஆனால் இந்த முறை சீமானுக்கு வாக்களித்து விட்டேன் என்றார்.
💕💕
#நமது_சின்னம்_மைக் ",Sarcastic
PS_37,தேர்தல் முடிவுக்கு பிறகு மிகப்பெரிய அதிர்வலையை ஏற்படுத்துவார் சீமான் 🔥🔥 ஐயா ரவீந்திர துரைசாமி தேர்தல் விமர்சகர்👌👌👌✊✊✊✊✊💪💪💪💪💪😎😎,Opinionated
PS_38,"பெண் : அடுத்த முறை வரும் போது, எங்கள கருணை கொலை பண்ணிடுங்க

ஸ்டாலின் : சரி மா, நன்றி நன்றி 😂🤡

 ",Sarcastic
PS_39,"அவர் சொன்னது  அவர்களை. ஆனால், சும்மா பேசிட்டு வர வேண்டியது👽

சீமான் அண்ணன் மீது மரியாதை இருந்தாலும், தம்பிகள் அதை கெடுக்கவே இருக்கிறார்கள் போல.

செந்தமிழன் சீமான் அவர்களை பற்றி பார்ப்போம்🙏

ரகசிய சந்திப்பு, வெளிநாட்டு நிதி, பொய் பிரச்சாரம்👨‍🌾

 🙂

(1/11)",Negative
PS_40,"#Watch | நாமக்கல் நாதக வேட்பாளர் கனிமொழிக்கு ஆதரவாக பாட்டுப் பாடி வாக்கு சேகரித்த நாதக ஒருங்கிணைப்பாளர் சீமான்!

#SunNews | #Seeman | #NTK | #Namakkal | #ElectionsWithSunNews ",Substantiated
PS_41,"#JUSTIN நீலகிரி திமுக வேட்பாளர் ஆ.ராசாவிற்கு பரப்புரை செய்வதற்காக அமைச்சர் உதயநிதி ஸ்டாலின் வருகை தந்த ஹெலிகாப்டரில் தேர்தல் பறக்கும் படையினர் சோதனை 
#UdhayanidhiStalin #Nilgiri #Rasa #DMK #ElectionCampaign #FlyingSquad #ElectionCommision #LokSabhaElections2024 #News18TamilNadu | ",Substantiated
PS_42,புள்ளி கூட்டணி நலனை கருத்தில் கொண்டு கேக்கேதாட்டு அணைக்கு அனுமதி -#திராவிடமாடல்பரிதாபங்கள்,Opinionated
PS_43,அந்த 4 மரத்தை நட 40 ஆயிரம் கோடி ஒதுக்கு வான் டி கருங்காளி 🤧🤣,Sarcastic
PS_44,Manoj Nadarajan  கேள்வி புரியவில்லை தோழரே,Substantiated
PS_45,"""பிரச்சாரத்தில் பாட்டு பாடி கருத்து சொன்ன சீமான்""..அந்த பாட்டு தான் Highlight-ஏ..| Seeman | Karur



#seeman #seemanspeech #naamtamilarkatchi #electioncampaign #thanthitv #loksabhaelection2024",Sarcastic
PS_46,"இதுதான் எங்க அண்ணனுக்கும் மத்தவங்களுக்கும் உள்ள வித்தியாசம் 😍

அதனால்தான் 31 லச்சம் பேர் பின்னாடி நிற்கிறோம் 😍😍

#சீமான்_சின்னம்_ஒலிவாங்கி 
#NTK_Symbol_Mike 
#மக்களின்_சின்னம்_மைக் ",Sarcastic
PS_47,"விருதுநகர் வேட்பாளர் மருத்துவர் கெளஷிக் அவர்களின் இன்றைய செய்தியாளர் சந்திப்பு......

#விருதுநகர் #கெளஷிக் 
#மக்களின்_சின்னம்_மைக் 
#மக்களின்_சின்னம்_ஒலிவாங்கி ",Opinionated
PS_48,"#JUSTIN 
தமிழ்நாட்டில் பாஜக யாருக்குமே போட்டி இல்லை - நாதக ஒருங்கிணைப்பாளர் சீமான் 
#Seeman #NTK #Naamtamilar #BJP #Parliamentelection2024 #news18tamilnadu |  ",Negative
PS_49,"NTK IT Wing 
🔴TREND ALERT📷 இன்று(13.04.2024) காலை 10 மணி முதல் 18.04.2024 வரைக்கும்  கீழ்கண்ட கொத்துக்குறியை தொடர்ச்சியாகப் பயன்படுத்தி பதிவுகள் செய்து உலகம் முழுவதும் கொண்டு செல்வோம்.  #மக்களின்_சின்னம்_மைக் 
#Mike_VoiceOfPeople",Positive
PS_50,"யாரால் தமிழ்ச்சமூகத்தில் ஜாதிவேற்றுமை வளர்ந்ததோ, அவர்களின் உண்மைமுகம் என்னவென்று தமிழ்ச்சமூகத்திற்கு தெரியும்...

#நாம்தமிழர் #Elections2024 #ஒரு_வயசான_திருட்டுப்பய #NaamTamilarKatchi #Seeman #seeman2024 #Seeman4TN #இந்தவாட்டி_இதகேளுங்க #அடிப்படைமாற்றம் #நாம்தமிழர்கட்சி #சீமானின்_சின்னம்_ஒலிவாங்கி #VoteForMike",Neutral
PS_51," நீங்க ஏன் இத சொல்லி வாக்கு கேக்க கூடாது கைஸ்!
#DMKFailsTN ",Sarcastic
PS_52,"இங்க போராடுன விவசாயிகளை
புடிச்சு உள்ள போடுறீங்க
அங்க கர்நாடகத்துல உங்களுக்கு 
காரியம் பண்றானுங்க
அருமை அற்புதம்🤣🤣🤣

#திருட்டு_திமுக
#சாத்தானின்_ஆட்சி
#DMKFailsTN
#சாதிவெறி_திராவிடம்
#சாதிவெறி_திமுக

#உபிஸ்பரிதாபங்கள்
#திராவிடமாடல்பரிதாபங்கள் ",Opinionated
PS_53,"பாமக ஏன் பாஜகவுடன் கூட்டணி வைத்தது - மு.க. ஸ்டாலின்... 
#PMK #DMK #DMKFailsTN #Election2024 ",Neutral
PS_54,"எல்லா பிரச்சனைகளிலும் நான் உங்களோடு நின்றிருக்கிறேன் . இந்த தேர்தலில் நீங்கள் என்னோடு நில்லுங்கள் . 

-செந்தமிழன் சீமான் 
தலைமை ஒருங்கிணைப்பாளர்


#மக்களின்_சின்னம்_மைக்
#Mike_VoiceOfPeople
#Elections2024

#நாகப்பட்டினம் #திருவாரூர் ",Positive
PS_55,"கொளுத்தி போடு மானங்கெட்ட பயலே.
உண்மை சொல்லி ஓட்டு கேட்க துப்பில்ல. வந்துட்டான் பொறம்போக்கு ஓலு விட. 
ஜூன் 4 தமிழ்நாட்டு மக்கள் உன் கணிப்பு சாணி கரைச்சு ஊத்த போறாங்க.


#ஒற்றைவிரலால்_ஓங்கிஅடிப்போம் #NoVoteForBJP #DMKFailsTN #NoVoteToDMK #udhayanidhi ",Opinionated
PS_56,"சிதம்பரம் மற்றும் விழுப்புரத்தில் பானை உடைக்கப்படும் என்பதை உணர்ந்துள்ளார்!
#Elections2024 ",Negative
PS_57,"மழை நீர் உரிமை பொருளாக
கலைஞர் படகு திட்டம் 4000 கோடியில் ஏற்பாடு செய்யப்பட்டது...🤣🤣🤣
என்ன இப்படி கிளம்பிட்டாங்க.🤣🤣

50 ஆண்டுகால திராவிட ஆட்சி
 இதுவே சாட்சி

அவலங்கள் தொடர் கதை❤🖤
 
#விடியா_அரசு
#திருட்டு_திமுக
#சாத்தானின்_ஆட்சி
#DMKFailsTN

#திராவிடமாடல்பரிதாபங்கள் ",None of the above
PS_58,"அவங்களுக்கு ஒரே சின்னம் எங்களுக்கு மட்டும் வேற சின்னம்..!

#seeman | #ntk | #naamtamilarparty | #loksabhaelection2024 | #electionwithibctamil ",Negative
PS_59,"#சீமானின்_சின்னம்_ஒலிவாங்கி #Seeman #Seeman2024 #Seeman4TN #Seemanism #சீமானிசம் #SEEMAN2024ELECTION #மக்கள்-தலைவன்-சீமான் 
ஒரு IPS, தேசிய கட்சி சார்ந்த ஒருத்தருக்கு இது தெரியல - இனியவள் ரஜினி | பாஜக | அண்ணாமலை | dmk | bjp |  via ",Opinionated
PS_60,"வியாபாரி

#காங்கிரஸ்தேர்தல்அறிக்கை #CongressManifesto #IndiaAllaince      #CongressMenifesto #DMKFailsTN #RameshwaramCafeBlast",Opinionated
PS_61,"என்ன ராமலிங்கம் ஆளையே பாக்க முடியல எப்படி இருக்க...!

#kaliyammal #seeman #NTK_Symbol_Mike #ntk #tamilnadu #tamilnews #tamilnadu #சீமானின்_சின்னம்_ஒலிவாங்கி #seemanlatestspeech2024 ",None of the above
PS_62,"பிரச்சாரத்தில் உணர்ச்சி பொங்கி.. திடீரென பாட்டு பாடி ஓட்டு கேட்ட சீமான்  

#thanthitv #electioncampaign #seeman #ntk",Sarcastic
PS_63,"#கோவை நாடாளுமன்றத் தொகுதி வெற்றி வேட்பாளர் அண்ணனின் தங்கை, எங்களின் சகோதரி #கலாமணிஜெகநாதன் அவர்களுக்கு  #மைக் சின்னத்தில் வாக்களிப்போம்!..

#நமதுசின்னம்_ஒலிவாங்கி_மைக் #மக்களின்_சின்னம்_மைக் #சீமானின்_சின்னம்_ஒலிவாங்கி #NTK_Symbol_Mike #Elections2024  #Coimbatore  ",Positive
PS_64,"""மனோ தங்கராஜின் பினாமி பெயரில் கனிமவள லாரிகள் ஓடுகின்றன"" - பொன் ராதாகிருஷ்ணன் பரபரப்பு பேட்டி  



#kaniyakumari #bjp #ponradhakrishnan #thanthitv",Neutral
PS_65,"பாஜக வென்றால் திருப்பூரை மணிப்பூராக ஆக்கிவிடுவர் - முதல்வர் ஸ்டாலின் 

#MKStalin  | #CMStalin | #DMK | #Elections2024 | #ElectionWithPT | #BJP ",Sarcastic
PS_66,"பாஜகவுடன் அமமுக கூட்டணி வைத்தது தமிழக மக்களுக்குச் செய்த  துரோகம்: சீமான் தாக்கு | Seeman Speech

#zeetamilnews #seeman #seemanspeech #electioncampaign #election2024update

",Negative
PS_67,"“எங்கள் வரிப்பணத்தில் கொடுக்கும் மகளிர் உதவித் தொகையை பெற எதற்கு தகுதி?” - சீமான் கேள்வி

#Elections2024 | #ElectionCampaign | #Seeman | #MagalirUrimaiThittam | #NTK  ",Negative
PS_68,"தேர்தல் ரோடு ஷோ நிகழ்ச்சியில் அமித்ஷா...40-க்கு 40 வெற்றி.. உதயநிதி வாக்குவேட்டை!

#BJP #AmitShah #DMK #UdhayanidhiStalin #Election2024 #ElectionCampaign #LokSabhaElection2024 #NewsTamil24x7 ",Neutral
PS_69,"மயிலாடுதுறை மக்களவைத் தொகுதி - ஓர் அறிமுகம்

#loksabhaelections2024 #Election2024 #mayiladuthuraiconstituency #congress #aiadmk #bjp #ntk #mkstalin #politics2024 #tnpolitics #generalelections2024 #parliment #hindutamil ",Positive
PS_70,"பெரம்பலூரில் சீமான் தேர்தல் பிரச்சாரம்!
#seeman #NTK #perambalur #electioncampaign 
",Positive
PS_71,"விவசாயிகள் மீது திமுக ஆட்சியின் அராஜகம் 
முக ஸ்டாலின் 
எவா வேலு தான் காரணம் என குற்றம் சாட்டும் விவசாய மக்கள், திமுகவிற்கு தேர்தலில் தக்க பாடம் புகட்டுவார்கள் #NoVoteToDMK #DMKFailsTN #திருட்டு_திமுக #IndiaAllaince ",Opinionated
PS_72,"மிக முக்கியமான வாக்குறுதி!

மனித கழிவுகளை மனிதர்களே அகற்றும் முறை முற்றிலுமாக ஒழிக்கப்படும்!

 #CongressManifesto",Opinionated
PS_73,"திமுக புதுக்கோட்டை வடக்கு மாவட்டச் செயலாளர் வழக்கறிஞர் கே.கே.செல்லபாண்டியன், கந்தர்வக்கோட்டை சட்டமன்ற உறுப்பினர் எம்.சின்னதுரை ஆகியோர் தலைமையில்,

தமிழக சட்டத்துறை அமைச்சர் அண்ணன் மாண்புமிகு எஸ்.ரகுபதி அவர்கள்,

குன்றாண்டார்கோவில் ஒன்றியம்
கிள்ளுக்கோட்டை,
ராக்கதம்பட்டி,
உடையாளிப்பட்டி,
குண்டான்டார்கோவில்,
ஆள்வான்பட்டி,
ஒடுகம்பட்டி,
வாலியம்பட்டி,
மங்களதேவன்பட்டி,
மோசகுடி,
நாஞ்சூர் ஆகிய ஊர்களில், இன்று மாலை 5 மணியில் இருந்து இரவு 7 மணிவரை, திருச்சி நாடாளுமன்றத் தொகுதியில் இந்தியா கூட்டணியின் சார்பில் போட்டியிடும் என்னை ஆதரித்து, தீப்பெட்டி சின்னத்தில் வாக்கு கேட்டு பொதுமக்களிடையே உரையாற்றினார்.

திமுக உள்ளிட்ட இந்தியா கூட்டணி கட்சிகளின் நிர்வாகிகள், தோழர்கள் பெருந்திரளாகப் பங்கேற்றார்கள்.

வாக்களிப்பீர் #தீப்பெட்டி சின்னத்திற்கு!

#VoteForMatchbox #Vote_For_Matchbox #நமது_சின்னம்_தீப்பெட்டி #நமதுசின்னம்தீப்பெட்டி
#உங்கள்ஓட்டுதீப்பெட்டிக்கு
#உங்கள்_ஓட்டு_தீப்பெட்டிக்கு
#திருச்சி_வெற்றி_வேட்பாளர்_துரைவைகோ
#DuraiVaikoForTrichy #DuraiVaiko_For_Trichy #mdmk #vaiko #marumalarchidravidamunnetrakazhagam #duraivaiko #duraivaiyapuri #trichy #tiruchirappalli #mp #memberofparliament #dmk #dravidarkazhagam
#LokSabhaElection2024",Positive
PS_74,"சீமான் அனைவருடனும் ஒருங்கிணையணும்.. தனியாக நிற்க வேண்டியதில்ல  - Jaya Prakash Interview | தமிழர் முன்னணி  | NTK |  Seeman  

முழு பேட்டி▶  

#Seeman #NTK #சீமான்",Positive
PS_75,"மக்கள் அரசியலாக மாற்ற வேண்டும். 

#Seeman | #NTK | #LokSabhaElections2024 | #2024Election | #ElectionWithIBCTamil ",Neutral
PS_76,"இனியும் பாஜக ஊழல் பற்றி பேசினால்...முதல்வர் விமர்சனம் 

#MKStalin | #RahulGandhi | #DMK | #Congress | #Kovai | #LokSabhaElections2024 ",Opinionated
PS_77,"சமூக நீதி பெருகி அன்பும் சமத்துவமும் தழைத்தோங்க அனைத்து இஸ்லாமிய உறவுகளுக்கும் ஈகை பெருநாள் வாழ்த்துகள்...!

#MKStalin #UdhayanidhiStalin 

#ஈரோடு_வடக்கு_மாவட்டம்
#பாசமிகு_பண்பாளர்
#என்_நல்லசிவம்
 ",None of the above
PS_78,மைக்க கையில் எடுக்கட்டுமா 👌👌👌👌👌,Sarcastic
PS_79,"நமது சின்னம் ஒலிவாங்கி (மைக்)
#மக்களின்_சின்னம்_மைக்
#Mike_VoiceOfPeople
#Elections2024
#கள்ளக்குறிச்சி
 
 ",Neutral
PS_80,"அப்பா திருடன் மகன் திருடன்...
குட்டிக்கதை சொன்ன சீமான், குலுங்கி சிரித்த கூட்டம் ! 
#NTK #mike #seeman
#சீமான் #நாம்தமிழர்கட்சி_சின்னம்_ஒலிவாங்கி
#திருடர்_முன்னேற்ற_கழகம் #சீமான்_சின்னம்_ஒலிவாங்கி ",Neutral
PS_81,மோடியின் நாய்குட்டியா அமலாக்கத்துறை? | அமித்ஷா | அண்ணாமலை #ed #enforcementdirectorate #modi #bjp #dmk #admk #rahulgandhi #narendramodi #congress #mkstalin #annamalai #amitshah #novotetobjp #bjpfailsindia #bjpfail #tamilnadupothumedai #TamilNadu,Substantiated
PS_82,"எடப்பாடியை ஏமாற்றிய ஈரோடு வேட்பாளர் – அதிமுகவினர் கடும் அதிருப்தி
 #ParliamentElection2024 #Tamilnadu #Admk #Erode #EdappadiPalanisami  ",Opinionated
PS_83,"பாஜகவுடன் சேர்ந்தால் டெபாசிட் வாங்குவது கடினம்: சீமான்

#மும்பைதமிழ்மக்கள் | #MumbaiTamilMakkal | #Seeman | #NTK | #bjp ",Sarcastic
PS_84," ஏன் மாம்ஸ் வழக்கமாக இதுவே எனது கடைசி தேர்தல் என்று ஒப்பாரி பாடி ஓட்டு கேட்பாய் லத்தேரியில் இப்ப என்ன புதுசா அம்மா சென்டிமென்ட் டாயலாக் எல்லாம் பேசுற கடந்த ஐந்தாண்டு மக்களுக்கு எதாவது செய்து இருப்பின் ஓட்டு தானாக விழும் செய்யல என்றால் இடி தான் விழும்
#திருட்டுதிமுக",Substantiated
PS_85,"இன்றைய பரப்புரையில்

#வாக்களிப்பீர்_மைக்_சின்னம் ",Opinionated
PS_86,"விஜய்யும் தமிழன்தான, அவருக்கும் மனசாட்சி இருக்கும்ல...
#மக்களின்_சின்னம்_மைக் ",None of the above
PS_87,"PM மோடி புதுசா ஒரு வடை சுட்டு மகளிரை ஏமாத்த பாக்குறாரு - Udhayanidhi Stalin 

#mkstalin #loksabhaelection2024  #udhayanidhistalin #dmk #News18TamilNadu #TamilNews ",Sarcastic
PS_88,"மதிமுக இப்ப இல்ல! பம்பரம் எல்லாம் அடுப்புல போட்டு எரிஞ்சு சாம்பளப்போச்சு! | Fine Time Media
#airportmoorthy #micsymbol #Thirumavalavan #PMK #VCK #Chidambaram #trichy #MRKPanneerselvam #DuraiVaiko #knneru #DMKAlliance #2024election #seeman #ntkitwing #Finetimemedia ",None of the above
PS_89,"1 கோடி ஓட்டுகள் வாங்குவது பெரிதல்ல.. ! - Seeman 

#Seeman | #Naamtamilar | #NTK | #Loksabhaelection | #2024election | #ElectionsWithIBCTamil ",Neutral
PS_90,"காங்கிரஸ் பேரியக்கத்தின் வெற்றி வேட்பாளர்  அவர்களுக்கு, உப்பிடமங்கலம் வார்டு-1 யில் வாக்கு சேகரித்த போது,
#dmk #mkstalin #KrrManikandan_Kmk ",Positive
PS_91,"ஊழல் குறித்து பேச பிரதமர் மோடி வெட்கப்பட வேண்டாமா? தேர்தல் பத்திரங்கள் மூலம் ஊழலை சட்டப்பூர்வமாக்கியவர் மோடி. பி.எம் கேர்ஸ் நிதி என்ன ஆனது? ரூ7 லட்சம் கோடி ஊழல் என சிஏஜி கொடுத்த அறிக்கை பற்றி ஏன் பிரதமர் வாய் திறப்பதில்லை?
#GPR4CBE | #DMK #Vote4INDIA | #MKStalin  | #RahulGandhi ",Neutral
PS_92,என் 2 ரூவா குடு நா போரன்,None of the above
PS_93,"அதிமுக சார்பில் போட்டியிடும் வேட்பாளர்கள் பட்டியலை வெளியிட்டார்  எடப்பாடி பழனிசாமி!

link : 

 #admk #edappadipalanisamy #edappadi #eps  #electionmanifesto #admknews #elections2024 #loksabhaelection2024 #sdcworld ",Opinionated
PS_94,"நிதிச் சுமையை ஏற்படுத்திய அதிமுக  EPSஆல் லட்சக்கணக்கில் உயிரிழப்பு

Full Video Link : 

#Nakkheeran  #ADMK  #erodeprakash ",Neutral
